,Cases,Deaths,Poverty,Population,W_Male,W_Female,B_Male,B_Female,H_Male,H_Female,I_Male,I_Female,A_Male,A_Female,NH_Male,NH_Female,Risk_Index,Risk_Cat
366,10.192231560934287,3.828641396489095,10.56004854652803,10.649416918535042,10.561266589258283,10.470674605967867,8.582980931954241,7.85979918056211,9.843472120126142,9.563669725663818,6.703188113240862,6.461468176353718,6.093569770045137,6.190315405853148,4.262679877041316,4.356708826689592,69.63,Above Average
370,12.069238662495463,7.739359202689098,13.185786902164404,13.22482429328292,13.076348757844846,13.130710443517144,10.600950407163676,10.619178697530968,11.831444648492162,11.850197381762008,8.423102268016642,8.368461137615839,9.677464860471074,9.87668145811562,6.782192056006791,6.7945865808765,64.77,Above Average
373,10.564756994198053,6.363028103540465,11.194055397195614,11.218836243841805,11.008098480007636,11.010365585621269,9.3910773406399,9.490015474026047,9.382274835883653,9.315960853839867,6.68586094706836,6.576469569048223,6.329720905522696,6.4754327167040895,4.804021044733257,4.9126548857360515,91.49,High
374,11.437274764962067,6.78332520060396,12.434446494957307,12.486246602491635,12.35057983313876,12.4022560152616,9.654962088618868,9.687567846311238,10.302397891673618,10.316490843682582,7.368339686311381,7.2916562091744614,9.143559338285833,9.243484970568485,5.968707559985366,5.828945617610208,15.13,Low
375,11.909188362313593,8.443761913330354,12.66966199721085,12.70167396546438,12.389947162523654,12.425649844964775,11.162729487129205,11.230986867145512,11.505830354094305,11.498725115569089,7.941295570906532,7.916807490937603,8.758412389457678,9.077380244719954,6.42648845745769,6.481577129276432,54.07,Above Average
376,11.193518779935307,7.032624261028007,12.061965526533465,12.124390678337948,12.009613624060295,11.99422134607244,9.702044336534586,9.195835685773302,9.76468514965567,9.674703121331833,7.8804263442924,7.81762544305337,8.360773272144936,8.753529336516431,6.2363695902037035,6.1964441277945195,33.62,Below Average
377,11.998088605973784,9.043458999670104,12.949651499388807,12.980205166269084,12.850496909659507,12.945370796363424,9.979846560634876,10.03889218954233,11.031156899470346,11.061563004475026,7.758760544157663,7.784889295655098,8.992433087457217,9.210440366976515,6.131226489483142,6.100318952020063,39.31,Below Average
379,10.661415412410989,7.550661243105337,11.699180940416179,11.793733968478836,11.661931505232909,11.728915490722642,9.508146027598816,8.784774592161016,9.558035114334137,9.169726689090888,6.805722553416985,6.555356891810665,7.024649030453637,7.4377951216719325,5.159055299214528,4.9126548857360515,92.98,High
380,10.59838320363019,7.592366128519796,10.633255916551716,10.701377558022251,10.552029549665953,10.525836661787356,8.789355452209984,8.520188700396035,8.889721799278137,8.714074899541522,6.226536669287466,6.113682179832232,5.808142489980444,5.877735781779639,4.174387269895637,3.970291913552122,88.37,High
381,8.935113740791747,3.9889840465642745,9.858228646130511,9.979012377622373,9.775654181026242,9.655667013509476,8.566935283311052,8.173575486634151,7.590852123688581,6.663132695990803,5.793013608384143,5.71373280550937,5.420534999272285,5.455321115357702,3.0910424533583165,2.9957322735539913,76.52,Above Average
382,8.713910628493924,4.84418708645859,9.237274373216264,9.631481959469355,9.522446728338489,9.135724578595395,8.661293535389994,7.166265974133638,7.511524648390867,6.617402977974478,4.653960350157523,4.762173934797756,4.836281906951479,4.532599493153255,2.9957322735539913,1.6094379124341005,72.87,Above Average
383,12.216409040464876,8.555451903533328,13.18653370576726,13.223626711063426,13.035388363389922,13.080442863065391,11.079184331510326,11.150476741945255,11.741971561937053,11.744981184671015,8.377011160816375,8.414274137408396,9.38378935026654,9.496346040047019,6.6758232216348485,6.498282149476434,60.32,Above Average
384,9.273033441314606,4.74493212836325,10.302162996284878,10.426409717249351,10.280518891981744,10.207584166256003,8.789812386190972,8.072779333169498,7.763021309018518,7.4465850991577245,6.056784013228625,5.8200829303523625,5.638354669333745,5.752572638825632,4.07753744390572,3.7841896339182615,60.32,Above Average
385,10.30534616505018,6.576469569048223,11.14385978624207,11.212779371658742,11.119393868426595,11.115488048549292,8.499029220788566,8.17103418920548,8.997270906233448,8.794218683679487,7.011213987350367,6.9363427358340495,7.045776576879512,7.286191714702383,5.159055299214528,5.056245805348309,59.57,Above Average
386,9.37610901542907,6.548219102762372,10.017887092844623,10.145374346667474,9.982945473870844,9.889135046311727,8.553139318189707,7.964503363551548,7.470793774195062,7.120444372392488,6.202535517187923,6.035481432524756,5.214935757608987,5.416100402204419,4.430816798843313,4.897839799950911,79.43,Above Average
387,10.031264922477954,7.108244139731541,9.799293023518269,9.819344784423699,9.557328550325373,9.583695426166114,8.232440158470336,8.201111644442758,8.016317898503416,7.839525581704677,4.934473933130692,4.955827057601262,5.2626901889048865,4.919980925828125,4.30406509320417,2.4849066497880004,81.22,Above Average
388,9.22276289197474,5.159055299214528,9.018332049592683,9.007612005404567,8.768107539675803,8.742414582525411,7.273786317844895,7.324489979348532,8.155936337972394,7.943427767876372,5.267858159063328,4.859812404361672,4.74493212836325,4.189654742026425,4.74493212836325,4.189654742026425,44.42,Below Average
389,9.793672686528922,5.777652323222656,9.290075339995036,9.320449594656212,9.092232283495854,9.140132476932688,7.520776415062798,7.563200592358072,7.346010209913294,7.2078598714324755,4.30406509320417,3.912023005428147,4.382026634673881,4.663439094112067,3.218875824868201,2.8903717578961645,76.52,Above Average
390,8.279697133877628,5.5606816310155285,8.03268487596762,8.018954683155718,7.407924322559599,7.379632152609552,7.148345743900068,7.266128779556451,5.808142489980444,5.5053315359323625,3.0910424533583165,2.8903717578961645,3.80666248977032,3.4657359027997265,0.0,1.3862943611198906,90.01,High
391,10.752719256128344,7.86288203464149,10.575819593382151,10.711970331775976,10.123746948670474,10.091086824325448,9.874213209832133,9.855294709934645,7.428927194802272,7.316548177182976,5.5333894887275195,5.2417470150596435,6.710523109452428,6.784457062637642,4.007333185232471,4.02535169073515,51.9,Above Average
392,9.269646477873593,4.189654742026425,9.848291917068178,9.864434825272427,9.821843563495618,9.793895875906033,6.492239835020472,6.349138991379798,7.732369222284388,7.561641745588781,5.393627546352363,5.0751738152338275,5.3981627015177525,5.44673737166631,2.9444389791664403,3.555348061489413,41.54,Below Average
393,10.705264897621523,7.556427969440253,11.293537353157435,11.329483280507569,11.103301721713201,11.136849241755852,9.28998299962838,9.378055776380775,9.664087578702397,9.619465440915834,6.6669567924292075,6.555356891810665,8.173857454773621,8.170751423757535,4.812184355372417,4.820281565605037,63.19,Above Average
394,11.171589419182816,8.36287583103188,11.56226785758584,11.587457632854507,11.424280026356078,11.445021286356356,9.430920640887226,9.487669032348473,9.66198907549994,9.562193710635698,6.906754778648554,6.888572459565364,7.093404625868766,7.258412150595308,5.0998664278242,5.030437921392434,38.17,Below Average
395,9.472166029882736,4.430816798843313,9.706011747970496,9.723163998404846,9.188912424562563,9.256173788319355,8.641002477142523,8.830250570199247,7.381501894506707,7.359467638255621,4.948759890378168,5.111987788356544,5.147494476813453,4.976733742420574,2.4849066497880004,2.3978952727983707,77.11,Above Average
396,9.1345386585599,0.0,9.852194258148575,9.872873693918292,9.719264188452577,9.734477009801845,7.662937850461535,7.76004068088038,7.480428306074207,7.280697195384741,4.691347882229144,4.859812404361672,5.525452939131784,5.62040086571715,2.7080502011022096,3.0445224377234235,72.22,Above Average
397,11.476790386346483,8.036573409707312,11.897568626452735,11.939231876450037,11.00740242429508,11.068605176893387,11.2709812841923,11.451305347812688,9.049114723476961,8.952734767106874,6.583409222158765,6.647688373563329,8.159374736775426,8.275376374836407,5.828945617610208,5.455321115357702,70.18,Above Average
398,8.64541048921699,4.110873864173311,9.35079772467144,9.462887373659637,9.09121894106832,9.148039345778805,8.062117582754741,8.259975659768276,6.587550014824796,6.2766434893416445,4.0943445622220995,4.02535169073515,5.17614973257383,4.890349128221754,1.6094379124341005,1.791759469228055,64.99,Above Average
399,9.054972284742485,5.54907608489522,9.837775009170748,9.857914707241372,9.79031885443049,9.806756363576355,6.782192056006791,6.664409020350408,6.679599185844383,6.26530121273771,5.043425116919247,5.313205979041787,4.477336814478207,4.262679877041316,1.791759469228055,2.7080502011022096,25.58,Below Average
400,9.529303064460997,6.899723107284872,9.64140824746385,9.645817254152318,9.171287644712482,9.169101623959586,8.537583881063973,8.68541582383069,7.290292882446598,7.275864600546532,4.574710978503383,4.852030263919617,5.1929568508902095,5.278114659230517,3.6375861597263857,3.8712010109078916,64.55,Above Average
401,9.659630959624378,6.208590026096629,10.542284138345993,10.587265983091973,10.354817916516245,10.36979686619359,8.72355674269043,8.803874763534434,8.445911989411274,8.42989086301344,5.918893854273146,6.037870919922137,6.907755278982138,7.079184394609668,4.709530201312334,4.68213122712422,39.31,Below Average
402,10.271735272827476,5.976350909297934,11.179436773149568,11.284869869294994,10.892768489237657,10.888725821536317,10.019446703703725,10.148901272496065,8.615951963439501,8.476996001664824,6.338594078203182,6.278521424165843,7.048386408721884,7.215975002651466,4.934473933130692,4.9126548857360515,14.29,Low
403,9.674891664210184,6.326149473155099,10.002382209510342,10.016057021139623,9.329278296047695,9.358329249689632,9.179056081936416,9.353314540927288,7.168579897264035,6.984716320118267,5.123963979403259,4.9836066217083355,4.969813299576002,5.049856007249537,3.49650756146648,3.610917912644224,68.02,Above Average
404,10.17865413191749,7.841492924460013,9.974039208487072,10.124067821447174,9.7672095342435,9.743377484107393,9.05017161982336,8.715880102296456,7.349873704738338,7.05444965813294,5.1298987149230735,4.897839799950911,5.313205979041787,5.416100402204419,3.0445224377234235,2.3978952727983707,50.11,Below Average
405,9.627470511614849,6.3080984415095305,8.440528106480754,8.73052880173936,7.926963544862978,7.475905969367398,8.427706024914702,8.011355109161286,6.555356891810665,5.5093883366279774,3.7841896339182615,3.951243718581428,4.127134385045092,3.951243718581428,3.80666248977032,0.0,65.2,Above Average
406,9.647949933410914,5.062595033026967,10.849802997515976,10.908997222941911,10.68601829423076,10.5943320840334,9.277531621516506,9.331141072121888,8.792549614177384,8.583542571957771,6.380122536899765,6.406879986069313,6.9508147684425845,7.0825485693553,5.087596335232384,5.2626901889048865,60.32,Above Average
407,8.460834457746854,2.8903717578961645,9.260177606823355,9.287579152316983,8.96405612822033,8.974364841846596,7.845807502637805,7.980365765111246,7.679713639966372,7.525639975041535,3.737669618283368,4.31748811353631,4.820281565605037,4.941642422609304,2.772588722239781,2.772588722239781,91.37,High
408,11.254582105817278,8.063692634269518,11.643971271082387,11.695180352875195,11.423886579428085,11.45580469748047,10.041683051287528,10.172483624032429,9.551231402759107,9.404178688897805,6.9186952190204725,6.784457062637642,7.180831199044556,7.318539548567902,5.111987788356544,4.941642422609304,56.88,Above Average
409,10.007622317268137,5.843544417031361,11.107615344850805,11.121067360268277,11.027767587952816,11.090675272201247,7.76004068088038,7.714231144849085,8.101374671228582,8.084562415235304,6.306275286948017,6.230481447578483,6.900730664045173,7.0630481633881725,4.897839799950911,4.795790545596741,70.8,Above Average
410,8.875426919818963,4.9126548857360515,9.282381924841156,9.502412792729256,9.179159254492607,8.961366060627451,8.63550941823428,7.859413154693582,7.486613313139955,6.025865973825314,5.003946305945459,6.4599044543775355,5.062595033026967,4.634728988229637,2.8332133440562166,2.4849066497880004,69.63,Above Average
411,11.802380963971153,7.973499964024629,12.522323953093506,12.575668750557428,11.939923728290813,11.980194107547279,11.639091046491234,11.767218785276654,10.32485881766135,10.259272100189714,7.550135342488429,7.569411792450713,9.128045129249351,9.217911637472499,6.336825731146441,6.324358962381312,34.4,Below Average
412,10.086683726740745,2.8332133440562166,9.006999447958153,9.297160063928743,9.245610986058102,8.596558746796978,7.8747391251718115,7.529406457837013,8.221747728346623,7.553286605600419,5.521460917862246,5.267858159063328,6.306275286948017,5.638354669333745,5.2626901889048865,4.68213122712422,5.85,Low
413,8.542665987389269,5.351858133476067,10.061132121617645,10.118155285369292,9.976180237929569,9.998252128980553,8.09101504171053,7.562681246721884,7.77779262633883,7.476472381163906,5.3981627015177525,5.056245805348309,5.135798437050261,5.123963979403259,4.634728988229637,4.394449154672439,39.75,Below Average
414,11.722335136829797,8.191186004642791,12.435989208131804,12.463706508500223,12.32815752608041,12.352913818742126,9.939144229744162,9.995702036523939,10.719471643055137,10.63494156725066,7.650644551436898,7.654443226470112,8.649974302650056,8.840580188488795,6.035481432524756,5.82600010738045,12.43,Low
